,Q,A
0,싼 것도 있나요? 예전에 봤을 땐 다 10만 원이 넘던데요.,이거 쓰는데 예쁘고 딸깍거려요.
1,아니에요. 요즘 제 글씨 뭔지 너무 모르겠어요.,일정하지 않아도 저 정도면 너무 예쁜 거 아니에요? 난 악필이라서 노트 필기해도 볼 맛이 안 나요.
2,그런가요? 응사할 때 목 캔디 드시는 분도 있다기에 나눔 해볼까 했는데 가격 멋지군요.,어…. 곽으로 든 게 700원이고요. 낱개 포장된 건 한 3만 원어치 샀다가 목요일 앞 타임이지만 3번 나눔 했어요
3,네 그런가 봐요! 예고 편에 나왔나 봐요.,우리 민호 맛난 거 먹으러 갔군요! 요즘만 같으면 애들 안정된 느낌이고 좋네요.
4,어 그래요?,제 타임라인에선 이미 몇 달 전에 한 번 휩쓸고 지나간 아이템이었어요.
5,오오 고마워요.,네.
6,응. 귀엽죠? ,하마 우유는 되게 냄새 많이 난다고 들었어요.
7,야구 하다 두 번 넘어져서 두 번 축구 하다 두 번이요.,어쩜 다 두 번씩이에요. 후유증은 없으세요?
8,글쎄요. 솔직히 주변에서 그렇게 좋게 말해줘도 자신이 없달까요.,열심히 하고 있잖아요? 
9,가능하신 시간대 말씀 주시면 조정해볼게요.,아마 저녁 전까지나 밤 시간대에 자유롭게 가능할 것 같아요.
10,아하! 맞네요!! 청담에도 있었다니 코앞에 두고도 한 번도 먹으러 가지도 않고 몰랐어요.,응응 나도 몰랐는데 신기했어요! 거기 정말 맛있었는데요.
11,흐흑흐흑. 나았으면 좋겠다라고 했는데 혓바늘까지 났어요. 양치에 치실까지 꼼꼼히 하고 잤는데 말이죠. 약 먹었으니 얼른 나아버리겠어요!! 빠샤!!,약 드셨으니 내일은 나아지실 거라 믿어요!
12,피부 진짜 약하신가 봐요. 세게 눌러도 멍이 들다니 조심하셔야 해요.,네. 조심해야겠어요.
13,그렇군요. 전 그 뭐냐 채소 같은 거 가공하는 건 줄 알았어요. 신비한 자연의 세계네요.,고급 요리점 가면 후추 씨앗 직접 갈잖아요!
14,한 번 가봐야 할까요? 사실 가볼까? 라고 생각은 몇 번 해봤는데 생각만 해봤지 정말로 가본 적은 없어서 여전히 잘 모르겠어요.,병 방치 하지 마시고 꼭 가세요.
15,올해는 아니고 내년에 한 번 다녀오고 싶어요! 저번에 다녀온 여행은 관광지를 너무 많이 가서 발이 아팠어요.,지금 왕복 13만 원이던데 너무나 가고 싶어요.
16,약 먹고 두드러기 올라와서 약 먹고 다른 약 하나 더 먹어요.,두드러기라니 순말이 많이 아파요? 
17,반대쪽은 더 예쁜데 사진이 없어요.,아쉽네요.
18,우와! 정말요? 신나요! 주신다면 감사히 받을게요!,짠! 대신 점심 챙겨 먹고 먹기로 약속해요!
